Attaching to aeo_svdc-aeo_svdc-1
aeo_svdc-aeo_svdc-1  | Starting Process AEO_SVDC
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = 857b9504-e013-4083-a20d-455d5c92e611, current event type = TransferPacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = 857b9504-e013-4083-a20d-455d5c92e611, audit event sequence = Sequence, current event type = TransferPacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = 857b9504-e013-4083-a20d-455d5c92e611, current event type = AssemblePacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = 857b9504-e013-4083-a20d-455d5c92e611, audit event sequence = Sequence, current event type = AssemblePacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = 857b9504-e013-4083-a20d-455d5c92e611, current event type = TransferPacket with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = 857b9504-e013-4083-a20d-455d5c92e611, audit event sequence = Sequence, current event type = TransferPacket
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Follow on event for existing Job received - jobId = 857b9504-e013-4083-a20d-455d5c92e611, current event type = TransferResultStatus with 1 previous event ids
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Previous event is valid - jobId = 857b9504-e013-4083-a20d-455d5c92e611, audit event sequence = Sequence, current event type = TransferResultStatus
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AESequenceDC : Checking for completion of a Sequence or Job - jobId = 857b9504-e013-4083-a20d-455d5c92e611 ,sequenceId = 0 and branch extent = 1
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/12
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/13
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/14
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/15
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/16
